ID,groupe,Y_qualite, Z_qualite, couleur,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
3049,train,6,OK,blanc,6.9,0.19,0.49,6.60,0.036,49.0,172,0.99320,3.20,0.27,11.50
3050,train,6,OK,blanc,7.8,0.43,0.49,13.00,0.033,37.0,158,0.99550,3.14,0.35,11.30
3051,validate,5,OK,blanc,7.2,0.40,0.49,1.10,0.048,11.0,138,0.99290,3.01,0.42,9.30
3052,train,6,OK,blanc,7.8,0.43,0.49,13.00,0.033,37.0,158,0.99550,3.14,0.35,11.30
3053,train,7,Bon,blanc,7.6,0.52,0.49,14.00,0.034,37.0,156,0.99580,3.14,0.38,11.80
3054,train,5,OK,blanc,8.3,0.21,0.49,19.80,0.054,50.0,231,1.00120,2.99,0.54,9.20
3055,test,5,OK,blanc,6.9,0.34,0.74,11.20,0.069,44.0,150,0.99680,3.00,0.81,9.20
3056,train,6,OK,blanc,6.3,0.27,0.49,1.20,0.063,35.0,92,0.99110,3.38,0.42,12.20
3057,test,6,OK,blanc,8.3,0.20,0.74,4.45,0.044,33.0,130,0.99240,3.25,0.42,12.20
3058,train,6,OK,blanc,7.1,0.22,0.74,2.70,0.044,42.0,144,0.99100,3.31,0.41,12.20
3059,train,6,OK,blanc,7.9,0.11,0.49,4.50,0.048,27.0,133,0.99460,3.24,0.42,10.60
3060,test,6,OK,blanc,8.5,0.17,0.74,3.60,0.050,29.0,128,0.99280,3.28,0.40,12.40
3061,train,6,OK,blanc,6.4,0.15,0.49,5.40,0.048,54.0,164,0.99460,3.56,0.44,10.80
3062,train,6,OK,blanc,7.4,0.16,0.49,1.20,0.055,18.0,150,0.99170,3.23,0.47,11.20
3063,validate,6,OK,blanc,8.3,0.19,0.49,1.20,0.051,11.0,137,0.99180,3.06,0.46,11.00
3064,train,8,Bon,blanc,8.0,0.44,0.49,9.10,0.031,46.0,151,0.99260,3.16,0.27,12.70
3065,train,5,OK,blanc,7.0,0.20,0.74,0.80,0.044,19.0,163,0.99310,3.46,0.53,10.20
3066,train,6,OK,blanc,6.9,0.19,0.49,6.60,0.036,49.0,172,0.99320,3.20,0.27,11.50
3067,train,7,Bon,blanc,7.1,0.25,0.49,3.00,0.030,30.0,96,0.99030,3.13,0.39,12.30
3068,train,5,OK,blanc,6.5,0.24,0.24,1.60,0.046,15.0,60,0.99280,3.19,0.39,9.80
3069,train,5,OK,blanc,7.2,0.40,0.49,1.10,0.048,11.0,138,0.99290,3.01,0.42,9.30
3070,test,7,Bon,blanc,7.6,0.52,0.49,14.00,0.034,37.0,156,0.99580,3.14,0.38,11.80
3071,test,6,OK,blanc,7.8,0.43,0.49,13.00,0.033,37.0,158,0.99550,3.14,0.35,11.30
3072,train,5,OK,blanc,7.8,0.21,0.49,1.35,0.052,6.0,48,0.99110,3.15,0.28,11.40
3073,test,6,OK,blanc,7.0,0.20,0.49,5.90,0.038,39.0,128,0.99380,3.21,0.48,10.80
3074,train,4,Mauvais,blanc,6.9,0.25,0.24,3.60,0.057,13.0,85,0.99420,2.99,0.48,9.50
3075,test,6,OK,blanc,7.2,0.08,0.49,1.30,0.050,18.0,148,0.99450,3.46,0.44,10.20
3076,validate,5,OK,blanc,7.1,0.85,0.49,8.70,0.028,40.0,184,0.99620,3.22,0.36,10.70
3077,train,6,OK,blanc,7.6,0.51,0.24,1.20,0.040,10.0,104,0.99200,3.05,0.29,10.80
3078,train,6,OK,blanc,7.9,0.22,0.24,4.60,0.044,39.0,159,0.99270,2.99,0.28,11.50
3079,train,6,OK,blanc,7.7,0.16,0.49,2.00,0.056,20.0,124,0.99480,3.32,0.49,10.70
3080,train,6,OK,blanc,7.2,0.08,0.49,1.30,0.050,18.0,148,0.99450,3.46,0.44,10.20
3081,train,6,OK,blanc,6.6,0.25,0.24,1.70,0.048,26.0,124,0.99420,3.37,0.60,10.10
3082,train,6,OK,blanc,6.7,0.16,0.49,2.40,0.046,57.0,187,0.99520,3.62,0.81,10.40
3083,test,4,Mauvais,blanc,6.9,0.25,0.24,3.60,0.057,13.0,85,0.99420,2.99,0.48,9.50
3084,train,3,Mauvais,blanc,7.5,0.32,0.24,4.60,0.053,8.0,134,0.99580,3.14,0.50,9.10
3085,train,6,OK,blanc,7.4,0.28,0.49,1.50,0.034,20.0,126,0.99180,2.98,0.39,10.60
3086,train,6,OK,blanc,6.2,0.15,0.49,0.90,0.033,17.0,51,0.99320,3.30,0.70,9.40
3087,train,6,OK,blanc,6.7,0.25,0.74,19.40,0.054,44.0,169,1.00040,3.51,0.45,9.80
3088,train,6,OK,blanc,6.5,0.26,0.74,13.30,0.044,68.0,224,0.99720,3.18,0.54,9.50
3089,train,5,OK,blanc,7.9,0.16,0.74,17.85,0.037,52.0,187,0.99980,2.99,0.41,9.30
3090,test,6,OK,blanc,5.6,0.19,0.49,1.10,0.030,28.0,117,0.99180,3.55,0.45,10.30
3091,train,5,OK,blanc,7.5,0.20,0.49,1.30,0.031,8.0,97,0.99180,3.06,0.62,11.10
3092,train,5,OK,blanc,8.0,0.30,0.49,9.40,0.046,47.0,188,0.99640,3.14,0.48,10.00
3093,train,8,Bon,blanc,8.0,0.34,0.49,9.00,0.033,39.0,180,0.99360,3.13,0.38,12.30
3094,train,8,Bon,blanc,7.7,0.35,0.49,8.65,0.033,42.0,186,0.99310,3.14,0.38,12.40
3095,train,7,Bon,blanc,7.6,0.29,0.49,9.60,0.030,45.0,197,0.99380,3.13,0.38,12.30
3096,train,5,OK,blanc,6.7,0.62,0.24,1.10,0.039,6.0,62,0.99340,3.41,0.32,10.40
3097,train,7,Bon,blanc,6.8,0.27,0.49,1.20,0.044,35.0,126,0.99000,3.13,0.48,12.10
3098,train,6,OK,blanc,7.7,0.27,0.49,1.80,0.041,23.0,86,0.99140,3.16,0.42,12.50
3099,train,6,OK,blanc,6.7,0.51,0.24,2.10,0.043,14.0,155,0.99040,3.22,0.60,13.00
3100,train,7,Bon,blanc,7.4,0.19,0.49,9.30,0.030,26.0,132,0.99400,2.99,0.32,11.00
3101,train,5,OK,blanc,8.3,0.20,0.49,1.70,0.040,34.0,169,0.99380,3.05,0.37,10.10
3102,train,5,OK,blanc,6.6,0.30,0.24,1.20,0.034,17.0,121,0.99330,3.13,0.36,9.20
3103,train,7,Bon,blanc,6.8,0.36,0.24,4.60,0.039,24.0,124,0.99090,3.27,0.34,12.60
3104,validate,8,Bon,blanc,7.0,0.17,0.74,12.80,0.045,24.0,126,0.99420,3.26,0.38,12.20
3105,train,7,Bon,blanc,9.2,0.18,0.49,1.50,0.041,39.0,130,0.99450,3.04,0.49,9.80
3106,test,6,OK,blanc,8.1,0.20,0.49,8.10,0.051,51.0,205,0.99540,3.10,0.52,11.00
3107,train,6,OK,blanc,7.8,0.26,0.74,7.50,0.044,59.0,160,0.99600,3.22,0.64,10.00
3108,test,6,OK,blanc,6.8,0.21,0.49,14.50,0.060,50.0,170,0.99910,3.55,0.44,9.80
3109,test,5,OK,blanc,7.9,0.20,0.49,1.60,0.053,15.0,144,0.99300,3.16,0.47,10.50
3110,train,5,OK,blanc,8.0,0.18,0.49,1.80,0.061,10.0,145,0.99420,3.23,0.48,10.00
3111,test,6,OK,blanc,8.8,0.23,0.74,3.20,0.042,15.0,126,0.99340,3.02,0.51,11.20
3112,train,7,Bon,blanc,7.3,0.22,0.49,9.40,0.034,29.0,134,0.99390,2.99,0.32,11.00
3113,train,6,OK,blanc,7.3,0.22,0.49,9.90,0.031,48.0,161,0.99370,3.01,0.28,11.20
3114,train,7,Bon,blanc,7.4,0.19,0.49,9.30,0.030,26.0,132,0.99400,2.99,0.32,11.00
3115,train,6,OK,blanc,7.3,0.16,0.49,1.30,0.039,34.0,136,0.99260,3.14,0.77,10.50
3116,train,6,OK,blanc,8.2,0.22,0.49,9.60,0.037,53.0,154,0.99510,3.02,0.33,10.60
3117,train,6,OK,blanc,8.2,0.24,0.49,9.30,0.038,52.0,163,0.99520,3.02,0.33,10.60
3118,train,6,OK,blanc,8.4,0.23,0.49,7.80,0.035,22.0,95,0.99350,3.04,0.34,12.00
3119,train,5,OK,blanc,8.3,0.20,0.49,1.70,0.040,34.0,169,0.99380,3.05,0.37,10.10
3120,train,6,OK,blanc,8.3,0.20,0.49,1.70,0.038,38.0,167,0.99390,3.05,0.37,10.10
3121,test,5,OK,blanc,6.6,0.30,0.24,1.20,0.034,17.0,121,0.99330,3.13,0.36,9.20
3122,validate,5,OK,blanc,6.9,0.21,0.49,1.40,0.041,15.0,164,0.99270,3.25,0.63,11.00
3123,train,6,OK,blanc,8.0,0.25,0.49,9.00,0.044,31.0,185,0.99800,3.34,0.49,10.00
3124,train,6,OK,blanc,6.6,0.21,0.49,18.15,0.042,41.0,158,0.99970,3.28,0.39,8.70
3125,train,5,OK,blanc,7.2,0.27,0.74,12.50,0.037,47.0,156,0.99810,3.04,0.44,8.70
3126,test,6,OK,blanc,14.2,0.27,0.49,1.10,0.037,33.0,156,0.99200,3.15,0.54,11.10
3127,test,6,OK,blanc,7.9,0.28,0.49,7.70,0.045,48.0,195,0.99540,3.04,0.55,11.00
3128,train,6,OK,blanc,7.4,0.27,0.49,1.10,0.037,33.0,156,0.99200,3.15,0.54,11.10
3129,train,6,OK,blanc,6.6,0.21,0.49,18.15,0.042,41.0,158,0.99970,3.28,0.39,8.70
3130,train,5,OK,blanc,7.2,0.27,0.74,12.50,0.037,47.0,156,0.99810,3.04,0.44,8.70
3131,test,7,Bon,blanc,8.1,0.30,0.49,8.10,0.037,26.0,174,0.99430,3.10,0.30,11.20
3132,train,7,Bon,blanc,7.5,0.23,0.49,7.70,0.049,61.0,209,0.99410,3.14,0.30,11.10
3133,train,6,OK,blanc,7.3,0.26,0.49,5.00,0.028,32.0,107,0.99360,3.24,0.54,10.80
3134,train,6,OK,blanc,7.1,0.18,0.74,15.60,0.044,44.0,176,0.99960,3.38,0.67,9.00
3135,train,6,OK,blanc,8.5,0.15,0.49,1.50,0.031,17.0,122,0.99320,3.03,0.40,10.30
3136,validate,5,OK,blanc,8.9,0.13,0.49,1.00,0.028,6.0,24,0.99260,2.91,0.32,9.90
3137,test,6,OK,blanc,8.1,0.28,0.49,1.00,0.040,32.0,148,0.99360,3.13,0.41,10.00
3138,train,6,OK,blanc,6.0,0.17,0.49,1.00,0.034,26.0,106,0.99200,3.21,0.42,9.80
3139,validate,6,OK,blanc,7.3,0.26,0.49,5.00,0.028,32.0,107,0.99360,3.24,0.54,10.80
3140,test,6,OK,blanc,7.1,0.18,0.74,15.60,0.044,44.0,176,0.99960,3.38,0.67,9.00
3141,test,4,Mauvais,blanc,7.1,0.53,0.24,0.80,0.029,29.0,86,0.99300,3.16,0.32,9.10
3142,train,6,OK,blanc,7.2,0.16,0.49,1.30,0.037,27.0,104,0.99240,3.23,0.57,10.60
3143,train,6,OK,blanc,7.3,0.14,0.49,1.10,0.038,28.0,99,0.99280,3.20,0.72,10.60
3144,train,5,OK,blanc,8.9,0.13,0.49,1.00,0.028,6.0,24,0.99260,2.91,0.32,9.90
3145,test,6,OK,blanc,7.9,0.12,0.49,5.20,0.049,33.0,152,0.99520,3.18,0.47,10.60
3146,train,6,OK,blanc,6.7,0.29,0.49,4.70,0.034,35.0,156,0.99450,3.13,0.45,9.90
3147,train,6,OK,blanc,6.7,0.30,0.49,4.80,0.034,36.0,158,0.99450,3.12,0.45,9.90
3148,validate,6,OK,blanc,7.1,0.36,0.24,1.80,0.025,32.0,102,0.99030,3.34,0.59,12.80
3149,train,6,OK,blanc,8.5,0.15,0.49,1.50,0.031,17.0,122,0.99320,3.03,0.40,10.30
3150,train,6,OK,blanc,7.9,0.18,0.49,5.20,0.051,36.0,157,0.99530,3.18,0.48,10.60
3151,test,6,OK,blanc,6.6,0.19,0.99,1.20,0.122,45.0,129,0.99360,3.09,0.31,8.70
3152,train,7,Bon,blanc,7.3,0.21,0.49,1.80,0.038,44.0,152,0.99120,3.32,0.44,12.60
3153,train,7,Bon,blanc,6.9,0.30,0.49,7.60,0.057,25.0,156,0.99620,3.43,0.63,11.00
3154,test,7,Bon,blanc,7.9,0.42,0.49,8.20,0.056,32.0,164,0.99650,3.29,0.60,11.20
3155,train,7,Bon,blanc,6.9,0.24,0.49,1.30,0.032,35.0,148,0.99320,3.45,0.57,10.70
3156,train,6,OK,blanc,7.6,0.23,0.49,10.00,0.036,45.0,182,0.99670,3.08,0.58,9.60
3157,validate,6,OK,blanc,7.9,0.18,0.49,5.20,0.051,36.0,157,0.99530,3.18,0.48,10.60
3158,test,4,Mauvais,blanc,6.2,0.43,0.49,6.40,0.045,12.0,115,0.99630,3.27,0.57,9.00
3159,train,4,Mauvais,blanc,8.8,0.35,0.49,1.00,0.036,14.0,56,0.99200,2.96,0.33,10.50
3160,train,6,OK,blanc,7.8,0.30,0.74,1.80,0.033,33.0,156,0.99100,3.29,0.52,12.80
3161,train,5,OK,blanc,9.1,0.28,0.49,2.00,0.059,10.0,112,0.99580,3.15,0.46,10.10
3162,test,7,Bon,blanc,7.1,0.34,0.49,1.50,0.027,26.0,126,0.99000,3.30,0.33,12.20
3163,test,6,OK,blanc,7.8,0.30,0.74,1.80,0.033,33.0,156,0.99100,3.29,0.52,12.80
3164,train,5,OK,blanc,9.1,0.28,0.49,2.00,0.059,10.0,112,0.99580,3.15,0.46,10.10
3165,test,6,OK,blanc,8.5,0.19,0.49,3.50,0.044,29.0,117,0.99380,3.14,0.51,10.10
3166,train,5,OK,blanc,7.6,0.18,0.49,18.05,0.046,36.0,158,0.99960,3.06,0.41,9.20
3167,train,5,OK,blanc,7.5,0.19,0.49,1.80,0.055,19.0,110,0.99460,3.33,0.44,9.90
3168,test,6,OK,blanc,7.4,0.30,0.49,8.20,0.055,49.0,188,0.99740,3.52,0.58,9.70
3169,test,5,OK,blanc,6.7,0.30,0.74,5.00,0.038,35.0,157,0.99450,3.21,0.46,9.90
3170,train,5,OK,blanc,6.6,0.30,0.74,4.60,0.041,36.0,159,0.99460,3.21,0.45,9.90
3171,validate,6,OK,blanc,7.4,0.30,0.49,8.20,0.055,49.0,188,0.99740,3.52,0.58,9.70
3172,train,6,OK,blanc,6.9,0.22,0.49,7.00,0.063,50.0,168,0.99570,3.54,0.50,10.30
3173,validate,5,OK,blanc,7.8,0.26,0.49,3.10,0.045,21.0,116,0.99310,3.16,0.35,10.30
3174,train,4,Mauvais,blanc,8.5,0.17,0.49,8.80,0.048,23.0,108,0.99470,2.88,0.34,10.50
3175,validate,6,OK,blanc,6.8,0.17,0.74,2.40,0.053,61.0,182,0.99530,3.63,0.76,10.50
3176,train,6,OK,blanc,6.2,0.27,0.49,1.40,0.050,20.0,74,0.99310,3.32,0.44,9.80
3177,validate,4,Mauvais,blanc,7.1,0.64,0.49,1.80,0.050,17.0,128,0.99460,3.31,0.58,10.60
3178,test,5,OK,blanc,6.4,0.18,0.74,11.90,0.046,54.0,168,0.99780,3.58,0.68,10.10
3179,validate,4,Mauvais,blanc,7.6,0.31,0.49,13.40,0.062,50.0,191,0.99890,3.22,0.53,9.00
3180,validate,5,OK,blanc,9.8,0.31,0.49,15.40,0.046,13.0,119,1.00040,3.18,0.45,9.50
3181,test,6,OK,blanc,9.0,0.30,0.49,7.20,0.039,32.0,84,0.99380,2.94,0.32,11.50
3182,train,7,Bon,blanc,8.4,0.24,0.49,7.40,0.039,46.0,108,0.99340,3.03,0.33,11.90
3183,train,5,OK,blanc,6.4,0.18,0.74,11.90,0.046,54.0,168,0.99780,3.58,0.68,10.10
3184,test,6,OK,blanc,6.4,0.25,0.74,7.80,0.045,52.0,209,0.99560,3.21,0.42,9.20
3185,train,5,OK,blanc,7.3,0.30,0.74,13.50,0.039,46.0,165,0.99820,3.02,0.40,8.70
3186,train,5,OK,blanc,9.3,0.31,0.49,1.30,0.042,34.0,147,0.99480,3.11,0.46,9.80
3187,train,6,OK,blanc,6.4,0.25,0.74,7.80,0.045,52.0,209,0.99560,3.21,0.42,9.20
3188,train,5,OK,blanc,7.3,0.30,0.74,13.50,0.039,46.0,165,0.99820,3.02,0.40,8.70
3189,train,6,OK,blanc,7.0,0.27,0.74,1.50,0.036,27.0,122,0.99260,3.35,0.48,11.20
3190,validate,6,OK,blanc,7.9,0.14,0.74,1.20,0.028,30.0,165,0.99100,3.08,0.82,12.30
3191,test,6,OK,blanc,6.4,0.12,0.49,6.40,0.042,49.0,161,0.99450,3.34,0.44,10.40
3192,test,6,OK,blanc,6.8,0.21,0.74,1.20,0.047,25.0,111,0.99160,3.13,0.41,10.70
3193,test,6,OK,blanc,8.6,0.16,0.49,7.30,0.043,9.0,63,0.99530,3.13,0.59,10.50
3194,train,6,OK,blanc,7.0,0.29,0.49,3.80,0.047,37.0,136,0.99380,2.95,0.40,9.40
3195,validate,6,OK,blanc,6.4,0.27,0.49,7.30,0.046,53.0,206,0.99560,3.24,0.43,9.20
3196,train,5,OK,blanc,6.6,0.55,0.01,2.70,0.034,56.0,122,0.99060,3.15,0.30,11.90
3197,train,6,OK,blanc,6.4,0.27,0.49,7.30,0.046,53.0,206,0.99560,3.24,0.43,9.20
3198,train,6,OK,blanc,6.3,0.24,0.74,1.40,0.172,24.0,108,0.99320,3.27,0.39,9.90
3199,validate,6,OK,blanc,6.7,0.33,0.49,1.60,0.167,20.0,94,0.99140,3.11,0.50,11.40
3200,validate,6,OK,blanc,7.0,0.29,0.49,3.80,0.047,37.0,136,0.99380,2.95,0.40,9.40
3201,train,6,OK,blanc,8.2,0.34,0.49,8.00,0.046,55.0,223,0.99600,3.08,0.52,10.70
3202,train,5,OK,blanc,5.6,0.39,0.24,4.70,0.034,27.0,77,0.99060,3.28,0.36,12.70
3203,validate,7,Bon,blanc,5.6,0.41,0.24,1.90,0.034,10.0,53,0.98815,3.32,0.50,13.50
3204,validate,5,OK,blanc,6.7,0.41,0.01,2.80,0.048,39.0,137,0.99420,3.24,0.35,9.50
3205,train,9,Bon,blanc,7.1,0.26,0.49,2.20,0.032,31.0,113,0.99030,3.37,0.42,12.90
3206,train,6,OK,blanc,7.5,0.32,0.49,1.70,0.031,44.0,109,0.99060,3.07,0.46,12.50
3207,train,7,Bon,blanc,5.8,0.19,0.49,4.90,0.040,44.0,118,0.99350,3.34,0.38,9.50
3208,test,5,OK,blanc,6.9,0.27,0.49,23.50,0.057,59.0,235,1.00240,2.98,0.47,8.60
3209,train,7,Bon,blanc,8.1,0.20,0.49,11.80,0.048,46.0,212,0.99680,3.09,0.46,10.00
3210,validate,6,OK,blanc,7.5,0.32,0.49,1.70,0.031,44.0,109,0.99060,3.07,0.46,12.50
3211,test,6,OK,blanc,8.2,0.26,0.49,5.20,0.040,19.0,100,0.99410,3.12,0.34,10.10
3212,test,7,Bon,blanc,7.8,0.26,0.49,3.20,0.027,28.0,87,0.99190,3.03,0.32,11.30
3213,test,7,Bon,blanc,8.0,0.14,0.49,1.50,0.035,42.0,120,0.99280,3.26,0.40,10.60
3214,validate,5,OK,blanc,8.0,0.29,0.49,11.70,0.035,40.0,131,0.99580,3.14,0.34,10.80
3215,train,6,OK,blanc,7.5,0.19,0.49,1.60,0.047,42.0,140,0.99320,3.40,0.47,10.70
3216,train,6,OK,blanc,6.9,0.34,0.49,7.30,0.045,61.0,206,0.99570,3.09,0.40,9.00
3217,train,6,OK,blanc,6.2,0.20,0.49,1.60,0.065,17.0,143,0.99370,3.22,0.52,9.20
3218,train,6,OK,blanc,6.4,0.37,0.49,13.30,0.045,53.0,243,0.99820,3.14,0.48,8.50
3219,train,8,Bon,blanc,6.2,0.22,0.49,6.00,0.029,31.0,128,0.99280,3.41,0.36,11.30
3220,validate,7,Bon,blanc,7.8,0.26,0.49,3.20,0.027,28.0,87,0.99190,3.03,0.32,11.30
3221,validate,5,OK,blanc,8.9,0.32,0.49,1.60,0.050,17.0,131,0.99560,3.13,0.34,9.40
3222,test,6,OK,blanc,6.5,0.44,0.49,7.70,0.045,16.0,169,0.99570,3.11,0.37,8.70
3223,train,6,OK,blanc,7.0,0.14,0.49,5.90,0.053,22.0,118,0.99540,3.36,0.36,9.40
3224,validate,7,Bon,blanc,9.0,0.17,0.49,1.00,0.039,46.0,131,0.99300,3.09,0.51,10.50
3225,train,6,OK,blanc,6.4,0.26,0.49,6.40,0.037,37.0,161,0.99540,3.38,0.53,9.70
3226,train,6,OK,blanc,9.0,0.22,0.49,10.40,0.048,52.0,195,0.99870,3.31,0.44,10.20
3227,train,5,OK,blanc,8.9,0.32,0.49,1.60,0.050,17.0,131,0.99560,3.13,0.34,9.40
3228,train,6,OK,blanc,8.2,0.20,0.49,3.50,0.057,14.0,108,0.99280,3.19,0.35,11.50
3229,validate,6,OK,blanc,7.8,0.15,0.24,7.70,0.047,21.0,98,0.99510,2.94,0.31,9.60
3230,test,5,OK,blanc,6.9,0.25,0.24,1.80,0.053,6.0,121,0.99300,3.23,0.70,11.40
3231,train,6,OK,blanc,8.2,0.20,0.49,3.50,0.057,14.0,108,0.99280,3.19,0.35,11.50
3232,train,8,Bon,blanc,7.1,0.28,0.49,6.50,0.041,28.0,111,0.99260,3.41,0.58,12.20
3233,validate,7,Bon,blanc,7.4,0.19,0.49,6.70,0.037,15.0,110,0.99380,3.20,0.38,11.00
3234,test,6,OK,blanc,8.3,0.25,0.49,16.80,0.048,50.0,228,1.00010,3.03,0.52,9.20
3235,train,6,OK,blanc,7.5,0.14,0.74,1.60,0.035,21.0,126,0.99330,3.26,0.45,10.20
3236,train,5,OK,blanc,7.8,0.49,0.49,7.00,0.043,29.0,149,0.99520,3.21,0.33,10.00
3237,train,6,OK,blanc,8.1,0.12,0.49,1.20,0.042,43.0,160,0.99340,3.13,0.48,9.70
3238,train,5,OK,blanc,7.6,0.47,0.49,13.00,0.239,42.0,220,0.99880,2.96,0.51,9.20
3239,train,5,OK,blanc,7.9,0.22,0.49,3.80,0.042,26.0,105,0.99300,3.10,0.39,10.50
3240,train,5,OK,blanc,7.8,0.49,0.49,7.00,0.043,29.0,149,0.99520,3.21,0.33,10.00
3241,validate,6,OK,blanc,6.4,0.22,0.49,7.50,0.054,42.0,151,0.99480,3.27,0.52,10.10
3242,validate,7,Bon,blanc,7.3,0.19,0.49,15.55,0.058,50.0,134,0.99980,3.42,0.36,9.10
3243,test,7,Bon,blanc,8.1,0.30,0.49,12.30,0.049,50.0,144,0.99710,3.09,0.57,10.20
3244,test,7,Bon,blanc,7.3,0.19,0.49,15.55,0.058,50.0,134,0.99980,3.42,0.36,9.10
3245,train,7,Bon,blanc,7.5,0.24,0.49,9.40,0.048,50.0,149,0.99620,3.17,0.59,10.50
3246,train,6,OK,blanc,6.4,0.22,0.49,7.50,0.054,42.0,151,0.99480,3.27,0.52,10.10
3247,train,7,Bon,blanc,7.8,0.21,0.49,1.20,0.036,20.0,99,0.99000,3.05,0.28,12.10
3248,validate,5,OK,blanc,7.1,0.30,0.49,1.60,0.045,31.0,100,0.99420,3.40,0.59,10.20
3249,validate,4,Mauvais,blanc,6.9,0.26,0.49,1.60,0.058,39.0,166,0.99650,3.65,0.52,9.40
3250,test,7,Bon,blanc,7.6,0.31,0.49,3.95,0.044,27.0,131,0.99120,3.08,0.67,12.80
3251,train,6,OK,blanc,6.4,0.42,0.74,12.80,0.076,48.0,209,0.99780,3.12,0.58,9.00
3252,train,4,Mauvais,blanc,8.2,0.29,0.49,1.00,0.044,29.0,118,0.99280,3.24,0.36,10.90
3253,train,6,OK,blanc,7.9,0.33,0.28,31.60,0.053,35.0,176,1.01030,3.15,0.38,8.80
3254,test,5,OK,blanc,6.6,0.46,0.49,7.40,0.052,19.0,184,0.99560,3.11,0.38,9.00
3255,test,5,OK,blanc,7.8,0.28,0.49,1.30,0.046,27.0,142,0.99360,3.09,0.59,10.20
3256,train,5,OK,blanc,5.8,0.15,0.49,1.10,0.048,21.0,98,0.99290,3.19,0.48,9.20
3257,test,6,OK,blanc,7.8,0.40,0.49,7.80,0.060,34.0,162,0.99660,3.26,0.58,11.30
3258,train,5,OK,blanc,6.6,0.31,0.49,7.70,0.050,52.0,220,0.99640,3.12,0.45,8.80
3259,validate,5,OK,blanc,6.6,0.33,0.49,7.70,0.049,53.0,217,0.99600,3.16,0.40,9.30
3260,train,6,OK,blanc,6.6,0.27,0.49,7.80,0.049,62.0,217,0.99590,3.17,0.45,9.40
3261,train,6,OK,blanc,6.7,0.26,0.49,8.30,0.047,54.0,191,0.99540,3.23,0.40,10.30
3262,train,7,Bon,blanc,6.7,0.21,0.49,1.40,0.047,30.0,114,0.99140,2.92,0.42,10.80
3263,train,6,OK,blanc,7.9,0.33,0.28,31.60,0.053,35.0,176,1.01030,3.15,0.38,8.80
3264,test,4,Mauvais,blanc,8.1,0.28,0.46,15.40,0.059,32.0,177,1.00040,3.27,0.58,9.00
3265,train,8,Bon,blanc,6.5,0.13,0.37,1.00,0.036,48.0,114,0.99110,3.41,0.51,11.50
3266,test,5,OK,blanc,7.8,0.45,0.56,1.00,0.040,8.0,84,0.99380,3.25,0.43,10.80
3267,validate,6,OK,blanc,8.8,0.39,0.34,5.90,0.055,33.0,128,0.99270,2.95,0.51,11.80
3268,train,7,Bon,blanc,7.9,0.18,0.33,1.20,0.033,20.0,72,0.99220,3.12,0.38,10.50
3269,test,6,OK,blanc,7.1,0.31,0.38,1.20,0.036,10.0,124,0.99240,3.14,0.44,9.90
3270,train,6,OK,blanc,7.8,0.24,0.18,6.70,0.046,33.0,160,0.99630,3.20,0.56,9.80
3271,train,7,Bon,blanc,7.0,0.35,0.30,6.50,0.028,27.0,87,0.99360,3.40,0.42,11.40
3272,test,5,OK,blanc,6.6,0.26,0.31,4.80,0.138,41.0,168,0.99510,3.20,0.38,9.30
3273,test,5,OK,blanc,6.6,0.27,0.31,5.30,0.137,35.0,163,0.99510,3.20,0.38,9.30
3274,train,6,OK,blanc,6.8,0.22,0.29,8.90,0.046,82.0,188,0.99550,3.30,0.44,10.30
3275,test,5,OK,blanc,6.2,0.27,0.32,8.80,0.047,65.0,224,0.99610,3.17,0.47,8.90
3276,test,7,Bon,blanc,7.0,0.35,0.30,6.50,0.028,27.0,87,0.99360,3.40,0.42,11.40
3277,train,6,OK,blanc,7.3,0.23,0.37,1.80,0.032,60.0,156,0.99200,3.11,0.35,11.10
3278,train,6,OK,blanc,6.2,0.30,0.20,6.60,0.045,42.0,170,0.99440,3.36,0.45,10.40
3279,test,5,OK,blanc,6.4,0.35,0.20,5.70,0.034,18.0,117,0.99440,3.33,0.43,10.10
3280,test,5,OK,blanc,7.6,0.32,0.34,18.35,0.054,44.0,197,1.00080,3.22,0.55,9.00
3281,train,6,OK,blanc,6.3,0.31,0.30,10.00,0.046,49.0,212,0.99620,3.74,0.55,11.90
3282,validate,7,Bon,blanc,7.2,0.25,0.28,14.40,0.055,55.0,205,0.99860,3.12,0.38,9.00
3283,test,7,Bon,blanc,7.2,0.25,0.28,14.40,0.055,55.0,205,0.99860,3.12,0.38,9.00
3284,validate,7,Bon,blanc,7.3,0.26,0.33,17.85,0.049,41.5,195,1.00000,3.06,0.44,9.10
3285,train,7,Bon,blanc,7.2,0.25,0.28,14.40,0.055,55.0,205,0.99860,3.12,0.38,9.00
3286,train,5,OK,blanc,7.4,0.26,0.37,9.40,0.047,42.0,147,0.99820,3.46,0.72,10.00
3287,train,7,Bon,blanc,7.3,0.26,0.33,17.85,0.049,41.5,195,1.00000,3.06,0.44,9.10
3288,train,3,Mauvais,blanc,6.7,0.25,0.26,1.55,0.041,118.5,216,0.99490,3.55,0.63,9.40
3289,test,6,OK,blanc,7.1,0.16,0.25,1.30,0.034,28.0,123,0.99150,3.27,0.55,11.40
